Model,Columns,Feature Representation,F1-score,Accuracy,Precision,Recall
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,combined_text,N/A,0.9375,0.95,0.9375,0.9375
ProsusAI/finbert,combined_text,N/A,0.9375,0.95,0.9375,0.9375
distilbert-base-uncased,combined_text,N/A,0.7777777777777778,0.8,0.7,0.875
Multi-Layer Perceptron,"headline_embeddings, synopsis_embeddings",Word2Vec FinText AI,0.7513226840538036,0.755,0.7585976046701693,0.7513405583173025
Loughran-McDonald,combined_text,,0.7345454545454545,0.635,0.6047904191616766,0.9351851851851852
VADER,combined_text,,0.7235494880546075,0.595,0.572972972972973,0.9814814814814816
DA-mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,combined_text,N/A,0.8648648648648649,0.875,0.7619047619047619,1.0
DA-distilbert-base-uncased,combined_text,N/A,0.6842105263157895,0.7,0.5909090909090909,0.8125
DA-ProsusAI/finbert,combined_text,N/A,0.9411764705882353,0.95,0.8888888888888888,1.0
